ar / العربية,ar,ar
bn / বাংলা,bn,bn
ca / Català,ca,ca
de_de / Deutsch,de_de,de_de
en_us / English,en_us,en_us
es_es / Español,es_es,es_es
fa_ir / Persian,fa_ir,fa_ir
fr_fr / Français,fr_fr,fr_fr
he / עברית,he,he
hr / Hrvatski,hr,hr
id / Bahasa Indonesia,id,id
it / Italiano,it,it
ja / 日本語,ja,ja
ko / 한국어,ko,ko
mm / မြန်မာ,mm,mm
nl_nl / Nederlands,nl_nl,nl_nl
no_nb / Norsk,no_nb,no_nb
pl_pl / Polski,pl_pl,pl_pl
pt_br / Português - Brasil,pt_br,pt_br
pt_pt / Português - Portugal,pt_pt,pt_pt
ro / Romana,ro,ro
ru / Русский,ru,ru
si_lk / සිංහල,si_lk,si_lk
sk / Slovenčina,sk,sk
sv / Svenska,sv,sv
th / ภาษาไทย,th,th
tr / Türkçe,tr,tr
uk / Українська,uk,uk
vi_vn / Tiếng Việt,vi_vn,vi_vn
zh_cn / 简体中文,zh_cn,zh_cn
zh_tw / 中文 (台灣),zh_tw,zh_tw
